;Unnamed: 0;en;no;initial_translation;finetuned_translation;initial_translation_bleu;finetuned_translation_bleu;google_translate;google_translation_bleu
65;65;Ferrules keep the housing contained and prevent it from deforming or digging into frame cable stops and other bike components.;Endehylser holder strømpen på plass og hindrer den i å deformere seg i strømpefestene eller grave seg inni rammen eller andre komponenter.;Ferrules holder huset inneholdt og hindrer det i å deformere eller grave inn i rammekabelstopper og andre sykkelkomponenter.;Ferrules holder strømpe og hindrer den i å deformere eller grave inn i rammestag og andre sykkel komponenter.;10.1;26.8;Hylser holder huset innesluttet og forhindrer at det deformeres eller graver seg inn i rammekabelstoppere og andre sykkelkomponenter.;2.7
66;66;If you are working on the bike in a repair stand, use another toe strap or zip tie to keep the fork in place.;Hvis du jobber på sykkelen i et reparasjonsstativ, bruk en stropp eller strips for å holde gaffel på plass.;Hvis du jobber på sykkelen i et reparasjonsstativ, bruk en annen tåstropp eller glidelås for å holde gaffelen på plass.;Hvis du jobber på sykkelen i et reparasjonsstativ, bruk en annen tå stropp eller strips for å holde gaffelen på plass.;47.5;57.6;Hvis du jobber på sykkelen i et reparasjonsstativ, bruk en annen tåstropp eller glidelås for å holde gaffelen på plass.;47.5
67;67;Leave syringe tubing clamps open during storage.;La sprøyte rør klemmer være åpne under lagring.;La sprøyterørklemmer være åpne under lagring.;La sprøyterøret være åpent under lagring.;39.3;16.8;La sprøyteslangeklemmene være åpne under lagring.;39.3
68;68;Check for and correct any lateral errors after adjusting the dish.;Se etter og korrigere eventuelle sidekast etter justering av sentreringen.;Se etter og korrigere eventuelle sidefeil etter justering av parabolen.;Se etter og korrigere eventuelle sidefeil etter justering av sentreringen.;26.6;44.5;Se etter og rett opp eventuelle sidefeil etter justering av parabolen.;13.4
69;69;Simply leave the ring alone after correctly adjusting it against the bearing.;Bare la ringen være alene etter riktig justering mot lager.;Bare la ringen være alene etter riktig justering mot lageret.;Bare la ringen være i fred etter riktig justering mot lageret.;53.0;24.6;Bare la ringen være i fred etter å ha justert den riktig mot lageret.;9.9
70;70;Cranks used with a loose bolt will result in movement and wear between steel spindle and the sqaure hole the crank.;Kranker som brukes med en løs bolt vil resultere i bevegelse og slitasje mellom stål aksler og firkanthullet i krankarmen.;Kraner som brukes med en løs bolt, vil resultere i bevegelse og slitasje mellom stålspindelen og det kvadratiske hullet i sveiven.;Krank brukt med en løs bolt vil resultere i bevegelse og slitasje mellom stål aksling og kvadratisk hull i krankarm.;41.9;49.1;Veiv som brukes med en løs bolt vil resultere i bevegelse og slitasje mellom stålspindelen og det firkantede hullet i sveiven.;51.4
71;71;For radial truing, it does not matter if you are paying attention to the left or right edge of the rim sidewall.;For justering av høydekast spiller det ingen rolle om du er oppmerksom på venstre eller høyre kant av felg kanten.;For radial truing, spiller det ingen rolle om du betaler oppmerksomhet til venstre eller høyre kant av felgen sidevegg.;For radial retting, spiller det ingen rolle om du betaler oppmerksomhet til venstre eller høyre kant av felg sideveggen.;34.9;39.6;For radiell truing spiller det ingen rolle om du er oppmerksom på venstre eller høyre kant av felgsideveggen.;61.9
72;72;It is common to find another adjustment screw on the derailleur body called the B screw.;Det er vanlig å finne en annen justeringsskrue på giret kalt B-skruen.;Det er vanlig å finne en annen justeringsskrue på girkassen kalt B-skruen.;Det er vanlig å finne en annen justeringsskrue på giret kalt B-skruen.;53.1;72.2;Det er vanlig å finne en annen justeringsskrue på girhuset kalt B-skruen.;53.1
73;73;It is best to press one cup at a time using a headset press (Figure 2).;Det er best å presse en skål om gangen ved hjelp av en styrelager presse (figur 2).;Det er best å trykke én kopp om gangen ved hjelp av en hodetelefonpresse (figur 2).;Det er best å trykke en skål om gangen ved hjelp av en styrelager presse (figur 2).;43.3;69.1;Det er best å trykke en kopp om gangen ved å bruke en hodetelefonpresse (Figur 2).;15.7
74;74;This allows the arms to move to the rim for pad adjustment without fighting spring tension.;Dette gjør det mulig for armene å bevege seg mot felgen for bremsekloss justering uten å bekjempe fjærspenningen.;Dette gjør det mulig for armene å bevege seg til felgen for justering av puten uten å bekjempe fjærspenningen.;Dette gjør at armene kan bevege seg til felgen for bremsekloss justering uten å strekkes.;48.8;30.4;Dette gjør at armene kan bevege seg til felgen for putejustering uten å bekjempe fjærspenningen.;25.5
75;75;Make sure that the source of the noise is coming from the chain beginning to strike the next inboard cog, then slowly turn the barrel adjuster clockwise until the noise goes away.;Sørg for at kilden til støyen kommer fra at kjedet begynner å treffe neste drev, deretter skru sakte justeringskruen med klokken til støyen går bort.;Sørg for at kilden til støyen kommer fra kjeden begynner å treffe den neste innenbords tannhjul, deretter sakte slå fatet adjuster med klokken til støyen går bort.;Kontroller at kilden til støyen kommer fra kjedet begynner å treffe den neste innsiden tannhjul, og deretter sakte vri justeringskruen med klokken til støyen går bort.;42.3;46.6;Pass på at kilden til støyen kommer fra kjedet som begynner å treffe neste innenbords tannhjul, og vri deretter tønnejusteringen sakte med klokken til støyen forsvinner.;32.4
76;76;This is hydraulic disc brake alignment, and regardless of the brand or model this article will help you get rid of that pesky rub.;Dette er justering av hydraulisk skivebrems, og uavhengig av merke eller modell, vil denne artikkelen hjelpe deg å bli kvitt det irriterende gnissing.;Dette er hydraulisk skivebremsjustering, og uansett merke eller modell vil denne artikkelen hjelpe deg med å bli kvitt den irriterende gni.;Dette er hydraulisk skivebrems justering, og uavhengig av merke eller modell vil denne artikkelen hjelpe deg å bli kvitt den irriterende gniingen.;25.6;51.3;Dette er hydraulisk skivebremsjustering, og uavhengig av merke eller modell vil denne artikkelen hjelpe deg med å bli kvitt den irriterende gnisten.;41.3
77;77;A typical expansion plug system consist of an expandable sleeve.;Et typisk ekspansjonspluggsystem består av en ekspanderbar hylse.;Et typisk ekspansjonspluggsystem består av en ekspanderbar hylse.;Et typisk ekspansjonspluggsystem består av en ekspanderbar hylse.;61.3;61.3;Et typisk ekspansjonspluggsystem består av en ekspanderbar hylse.;61.3
78;78;Torque the stem binder bolt and handlebar binder bolt to manufacturers specifications.;Stram festebolten til stemmet i henhold til moment spesifikasjoner gitt av produsenten.;Dreiemoment spindelen bindemiddel bolt og styret bindemiddel bolt til produsentens spesifikasjoner.;Vri festebolten til stemmet og festebolten til styret til produsentens spesifikasjoner.;3.5;11.6;Trekk til stangbinderbolten og styrets bindebolt til produsentens spesifikasjoner.;4.4
79;79;Two rivets are added to this (one-inch) for the place to cut the chain.;To nagler legges til dette (en tomme) for stedet å kutte kjedet.;To nagler legges til dette (en tomme) for stedet å kutte kjeden.;To nagler legges til dette (en tomme) for stedet å kutte kjedet.;64.7;75.6;To nagler er lagt til denne (en tomme) for stedet å kutte kjedet.;50.5
80;80;Write the date of the measurement directly on the rim.;Skriv datoen for målingen direkte på felgen.;Skriv datoen for målingen direkte på felgen.;Skriv datoen for målingen direkte på felgen.;57.1;57.1;Skriv datoen for målingen direkte på felgen.;57.1
81;81;Find the closest rivet where the two chain ends could be joined.;Finn nærmeste nagle hvor de to kjede endene kunne bli sammenføyd.;Finn nærmeste nagle hvor de to kjedeendene kunne bli sammenføyd.;Finn den nærmeste naglen hvor de to kjede endene kan bli koblet sammen.;44.5;24.1;Finn den nærmeste nagle der de to kjedeendene kan kobles sammen.;7.9
82;82;Try to know your numbers, but these can simply be written down when necessary.;Prøv å kjenne tallene dine, men disse kan ganske enkelt skrives ned når det er nødvendig.;Prøv å kjenne tallene dine, men disse kan bare skrives ned når det er nødvendig.;Prøv å kjenne tallene dine, men disse kan ganske enkelt skrives ned når det er nødvendig.;63.8;79.4;Prøv å kjenne tallene dine, men disse kan ganske enkelt skrives ned når det er nødvendig.;79.4
83;83;Starting from that spokes flange hole, count out the spokes it will cross on the way to the rim.;Start fra det eikehullet i navet, tell eiker det vil krysse på vei til felgen.;Start fra at eiker flens hull, telle ut eiker det vil krysse på vei til felgen.;Start fra det eike flens hullet, telle ut eikene det vil krysse på vei til felgen.;40.1;36.8;Start fra flenshullet i eikene, tell ut eikene den vil krysse på vei til felgen.;33.9
84;84;Chains take a lot of abuse, transmitting the power to the rear wheel, and they dont last forever.;Kjedet opplever mye misbruk gjennom å overføre kraften til bakhjulet, og det varer ikke evig.;Kjettinger tar mye misbruk, overfører kraften til bakhjulet, og de varer ikke for alltid.;Kjedet tar mye misbruk, overfører kraften til bakhjulet, og de varer ikke for alltid.;23.6;23.6;Kjeder tar mye misbruk, overfører kraften til bakhjulet, og de varer ikke evig.;34.5
85;85;This process will be similar with other forms of thread prep as well.;Denne prosessen vil være lik med andre former for gjenge behandling også.;Denne prosessen vil være lik med andre former for tråd prep også.;Denne prosessen vil være lik med andre former for gjenge prep også.;48.4;55.5;Denne prosessen vil være lik med andre former for trådforberedelse også.;52.0
86;86;The Avid hydraulic disc brake calipers use a DOT 4 or DOT 5.1 fluids.;Avid hydrauliske skivebrems kalippere bruker DOT 4 eller DOT 5.1 væsker.;Avid hydrauliske skivebremsekalipere bruker en DOT 4 eller DOT 5.1 væsker.;Avid hydrauliske skivebrems kalippere bruker en DOT 4 eller DOT 5.1 væske.;42.6;39.4;Avid hydrauliske skivebremsekalipere bruker en DOT 4 eller DOT 5.1 væske.;27.7
87;87;It is advised to tighten incrementally in a cross pattern to distribute the pressure equally.;Det anbefales å stramme trinnvis i et kryssmønster for å fordele trykket likt.;Det anbefales å stramme trinnvis i et kryssmønster for å fordele trykket likt.;Det anbefales å stramme inkrementelt i et kryssmønster for å fordele trykket likt.;74.0;56.4;Det anbefales å stramme trinnvis i et kryssmønster for å fordele trykket likt.;74.0
88;88;Often spokes are the same diameter for their entire length.;Ofte har eiker samme diameter for hele sin lengde.;Ofte har eiker samme diameter for hele sin lengde.;Ofte har eiker samme diameter for hele sin lengde.;64.8;64.8;Ofte har eiker samme diameter i hele lengden.;23.5
89;89;If the bike has been upside down, allow it to sit several minutes before use, and test the levers by pulling with force.;Hvis sykkelen har vært opp ned, la den stå flere minutter før bruk, og test hendlene ved å klemme hardt.;Hvis sykkelen har vært opp ned, la den sitte flere minutter før bruk, og test spakene ved å trekke med kraft.;Hvis sykkelen har vært opp ned, la den sitte flere minutter før bruk, og test hendlene ved å trekke med kraft.;49.3;59.0;Hvis sykkelen har stått opp ned, la den stå i flere minutter før bruk, og test spakene ved å trekke med kraft.;41.6
90;90;The most accurate and precise way to measure spoke tension is with a spoke tensiometer like the Park Tool TM-1.;Den mest nøyaktige og presise måten å måle eikespenn på er med en eikespenn måler som Park Tool TM-1.;Den mest nøyaktige og presise måten å måle talespenning på er med et ekert tensiometer som Park Tool TM-1.;Den mest nøyaktige og presise måten å måle eikespenn på er med et eikespenn måler som Park Tool TM-1.;46.2;69.1;Den mest nøyaktige og presise måten å måle eikerspenningen på er med et eikertensiometer som Park Tool TM-1.;48.5
91;91;Cut the post close to the frame.;Kutt pinnen nær rammen.;Klipp innlegget nær rammen.;Klipp innlegget nær rammen.;20.6;20.6;Klipp stolpen nær rammen.;20.6
92;92;On the ends of housing are ferrules, or end caps.;På endene av strømpe er endehylser.;På endene av huset er ferrules, eller endehetter.;På endene av strømpen er det endehylse eller endehylse.;7.3;7.3;På endene av huset er det hylser eller endestykker.;7.3
93;93;Use the centering screw on the side of the caliper to change spring tension.;Bruk sentreringsskruen på siden av kaliperen for å endre fjærspenningen.;Bruk sentreringsskruen på siden av kaliperen for å endre fjærspenningen.;Bruk sentreringsskruen på siden av kalipperen for å endre fjærspenning.;67.7;26.6;Bruk sentreringsskruen på siden av kaliperen for å endre fjærspenningen.;67.7
94;94;Now, measure from the middle of the right flange to the face of the right side locknut.;Nå, måle fra midten av høyre flens til overflaten av låsering på høyre side.;Nå, måle fra midten av høyre flens til ansiktet av høyre side locknut.;Nå måles fra midten av høyre flens til overflaten av høyre side låsering.;44.5;47.4;Mål nå fra midten av høyre flens til forsiden av høyre låsemutter.;33.3
95;95;To start, zero out the spoke nipples.;For å starte, null ut eike nipplene.;For å starte, null ut de talte brystvortene.;For å starte, null ut eike nipplene.;30.3;61.3;For å starte, null ut eikerniplene.;36.7
96;96;Insert the small end of the tool through the bottom bracket.;Sett den lille enden av verktøyet gjennom kranklageret.;Sett den lille enden av verktøyet gjennom bunnbraketten.;Sett den lille enden av verktøyet gjennom kranklager.;43.4;43.4;Før den lille enden av verktøyet gjennom bunnbraketten.;43.4
97;97;Pull chain snug to determine which link to cut.;Trekk kjedet tettsittende for å finne ut hvilken lenke du skal kutte.;Trekk kjetting tettsittende for å finne ut hvilken lenke som skal kuttes.;Trekk kjedet stramt for å finne ut hvilken lenke du skal kutte.;39.7;59.7;Trekk kjedet tett for å finne ut hvilket ledd som skal kuttes.;17.6
98;98;Put an adjustable wrench on the bridge and a wrench on the back nut.;Sett en justerbar skiftenøkkel på broen og en skiftenøkkel på mutteren.;Sett en justerbar skiftenøkkel på broen og en skiftenøkkel på ryggmutteren.;Sett en justerbar skiftenøkkel på broen og en skiftenøkkel på mutteren.;56.6;70.1;Sett en justerbar skiftenøkkel på broen og en skiftenøkkel på bakmutteren.;56.6
99;99;Remember to flex the spokes at the flange when you have completed this side.;Husk å bøye eiker ved flensen når du har fullført denne siden.;Husk å bøye ekene ved flensen når du har fullført denne siden.;Husk å bøy eiker ved flensen når du har fullført denne siden.;55.5;59.7;Husk å bøye eikene ved flensen når du har fullført denne siden.;55.5
